year,BorderID,CI,Border_Name,Longitude,Latitude
2016,14,1.0995527711561546,Kisumu,34.77767,0.086912
2016,16,0.0,   Malaba,34.279695,0.635505
2016,18,0.19832717349903853,Busia,34.110898,0.461495
2016,19,0.5446629748083971,,,
2016,21,0.0,Kisumu,34.77767,0.086912
2017,1,0.07552812834879324,   Tororo,34.192288,0.679311
2017,2,0.09347438329871974,   Moroto,34.660772,2.53033
2017,3,0.0132557202697309,   Kaabong,34.357182,3.505943
2017,4,0.009603624661452191,   Amudat,34.944752,1.953718
2017,6,0.1054927867621438,Lwakhakha,34.379088,0.798043
2017,7,0.19115507130642878,Suam,34.73511,1.219371
2017,8,0.25966336354648545,,,
2017,9,3.9178785053525886,   Malaba,34.279695,0.635505
2017,11,9.043991004978361,   Busia,34.110898,0.461495
2017,13,0.25966336354648545,Oropoi,34.232261,3.783474
2017,14,5.338336987394634,Kisumu,34.77767,0.086912
2017,16,0.0,   Malaba,34.279695,0.635505
2017,18,0.25966336354648545,Busia,34.110898,0.461495
2017,19,3.2632699207508455,,,
2017,21,0.0,Kisumu,34.77767,0.086912
2018,1,0.20793285796764469,   Tororo,34.192288,0.679311
2018,2,0.22338042145557643,   Moroto,34.660772,2.53033
2018,3,0.014912368817954234,   Kaabong,34.357182,3.505943
2018,4,0.05281993563798705,   Amudat,34.944752,1.953718
2018,6,0.17886986707627964,Lwakhakha,34.379088,0.798043
2018,7,0.32052192866823104,Suam,34.73511,1.219371
2018,8,0.2923387322510594,,,
2018,9,2.7262351480043674,   Malaba,34.279695,0.635505
2018,11,12.035013007821743,   Busia,34.110898,0.461495
2018,13,0.2923387322510594,Oropoi,34.232261,3.783474
2018,14,2.9415505429583004,Kisumu,34.77767,0.086912
2018,16,0.0,   Malaba,34.279695,0.635505
2018,18,0.2923387322510594,Busia,34.110898,0.461495
2018,19,2.388893105118548,,,
2018,21,0.0,Kisumu,34.77767,0.086912
2019,1,0.22658438504637973,   Tororo,34.192288,0.679311
2019,2,0.37302230393532554,   Moroto,34.660772,2.53033
2019,3,0.2529023055652503,   Kaabong,34.357182,3.505943
2019,4,0.028810873984356576,   Amudat,34.944752,1.953718
2019,6,0.21540013235076377,Lwakhakha,34.379088,0.798043
2019,7,0.4314522395709934,Suam,34.73511,1.219371
2019,8,0.14836702826147705,,,
2019,9,2.2634995453826967,   Malaba,34.279695,0.635505
2019,11,14.71381487049388,   Busia,34.110898,0.461495
2019,13,0.14836702826147705,Oropoi,34.232261,3.783474
2019,14,2.199981189283702,Kisumu,34.77767,0.086912
2019,16,0.04665984122502701,   Malaba,34.279695,0.635505
2019,18,0.14836702826147705,Busia,34.110898,0.461495
2019,19,1.9306480595666111,,,
2019,21,0.04665984122502701,Kisumu,34.77767,0.086912
2020,1,0.2612635578287265,   Tororo,34.192288,0.679311
2020,2,0.6062394030625514,   Moroto,34.660772,2.53033
2020,3,0.3951205272035858,   Kaabong,34.357182,3.505943
2020,4,0.06722537263016534,   Amudat,34.944752,1.953718
2020,6,0.1953993943937533,Lwakhakha,34.379088,0.798043
2020,7,0.47045592613429854,Suam,34.73511,1.219371
2020,8,0.8712191681712598,,,
2020,9,5.928441588647739,   Malaba,34.279695,0.635505
2020,11,27.264259676076723,   Busia,34.110898,0.461495
2020,13,0.8712191681712598,Oropoi,34.232261,3.783474
2020,14,6.619460401351814,Kisumu,34.77767,0.086912
2020,16,0.11198361894006484,   Malaba,34.279695,0.635505
2020,18,0.8712191681712598,Busia,34.110898,0.461495
2020,19,5.668225909805739,,,
2020,21,0.11198361894006484,Kisumu,34.77767,0.086912
2021,1,0.5216050956235999,   Tororo,34.192288,0.679311
2021,2,1.9303725664504878,   Moroto,34.660772,2.53033
2021,3,0.2642413627906084,   Kaabong,34.357182,3.505943
2021,4,0.0,   Amudat,34.944752,1.953718
2021,6,0.3551752678146328,Lwakhakha,34.379088,0.798043
2021,7,0.749509938007398,Suam,34.73511,1.219371
2021,8,0.4153374542899595,,,
2021,9,4.221570824554336,   Malaba,34.279695,0.635505
2021,11,39.16273904582386,   Busia,34.110898,0.461495
2021,13,0.4153374542899595,Oropoi,34.232261,3.783474
2021,14,4.502089389358241,Kisumu,34.77767,0.086912
2021,16,0.0,   Malaba,34.279695,0.635505
2021,18,0.4153374542899595,Busia,34.110898,0.461495
2021,19,3.849137736178231,,,
2021,21,0.0,Kisumu,34.77767,0.086912
2022,1,0.17772160662812742,   Tororo,34.192288,0.679311
2022,2,1.3818070498886956,   Moroto,34.660772,2.53033
2022,3,0.25402098946524326,   Kaabong,34.357182,3.505943
2022,4,0.038414498645808766,   Amudat,34.944752,1.953718
2022,6,0.37931269760680414,Lwakhakha,34.379088,0.798043
2022,7,1.231501233290774,Suam,34.73511,1.219371
2022,8,1.214868407939062,,,
2022,9,4.610200442290061,   Malaba,34.279695,0.635505
2022,11,21.899522701247196,   Busia,34.110898,0.461495
2022,13,1.214868407939062,Oropoi,34.232261,3.783474
2022,14,4.182469546572441,Kisumu,34.77767,0.086912
2022,16,0.02799590473501621,   Malaba,34.279695,0.635505
2022,18,1.214868407939062,Busia,34.110898,0.461495
2022,19,3.5382796137628967,,,
